pairing,game_idx,starter,A_name,B_name,A_symbol,B_symbol,winner_agent,winner_symbol,moves,seconds,sec_per_move
qlearn_vs_mcts@1000,6,B,qlearn,mcts@1000,O,X,B,X,9,0.669183,0.074354
qlearn_vs_mcts@1000,7,A,qlearn,mcts@1000,X,O,B,O,10,0.691448,0.069145
qlearn_vs_mcts@1000,8,B,qlearn,mcts@1000,O,X,B,X,7,0.611803,0.087400
qlearn_vs_mcts@1000,9,A,qlearn,mcts@1000,X,O,B,O,24,1.491728,0.062155
qlearn_vs_mcts@1000,10,B,qlearn,mcts@1000,O,X,B,X,13,0.970308,0.074639
qlearn_vs_mcts@1000,11,A,qlearn,mcts@1000,X,O,B,O,16,1.057924,0.066120
qlearn_vs_mcts@1000,12,B,qlearn,mcts@1000,O,X,B,X,9,0.935372,0.103930
qlearn_vs_mcts@1000,13,A,qlearn,mcts@1000,X,O,B,O,12,1.396680,0.116390
qlearn_vs_mcts@1000,14,B,qlearn,mcts@1000,O,X,B,X,17,2.050966,0.120645
qlearn_vs_mcts@1000,15,A,qlearn,mcts@1000,X,O,B,O,16,1.977567,0.123598
qlearn_vs_mcts@1000,16,B,qlearn,mcts@1000,O,X,B,X,15,2.145308,0.143021
qlearn_vs_mcts@1000,17,A,qlearn,mcts@1000,X,O,B,O,16,2.156975,0.134811
qlearn_vs_mcts@1000,18,B,qlearn,mcts@1000,O,X,B,X,17,2.478411,0.145789
qlearn_vs_mcts@1000,19,A,qlearn,mcts@1000,X,O,B,O,8,0.962270,0.120284
qlearn_vs_mcts@1000,20,B,qlearn,mcts@1000,O,X,B,X,13,1.653116,0.127163
qlearn_vs_mcts@1000,21,A,qlearn,mcts@1000,X,O,B,O,12,1.447540,0.120628
qlearn_vs_mcts@1000,22,B,qlearn,mcts@1000,O,X,B,X,15,1.744026,0.116268
qlearn_vs_mcts@1000,23,A,qlearn,mcts@1000,X,O,B,O,20,2.156749,0.107837
